No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
50,MNST,-5.84%,-5.62%,-0.52%,9.67%,37.29%,-3.25%,2.42%,1.75%,2.10,2.13M,0.90,92.12,2.96%,"608,271"
51,MXIM,-5.07%,-3.99%,-4.73%,12.89%,70.53%,2.03%,2.86%,2.40%,2.80,2.37M,2.04,92.65,2.43%,"1,537,056"
52,STX,-3.18%,8.53%,20.25%,59.23%,83.70%,40.17%,3.82%,3.28%,2.50,3.41M,2.72,93.65,7.49%,"2,947,812"
53,ATVI,0.42%,-3.38%,-9.51%,24.36%,26.81%,0.61%,2.43%,2.40%,2.00,6.00M,0.58,93.67,0.27%,"1,107,843"
54,PCAR,0.53%,0.65%,-4.43%,4.25%,43.93%,9.21%,2.78%,2.27%,2.60,1.87M,0.42,94.08,-0.16%,"248,610"
55,HAS,-3.14%,-3.68%,6.24%,12.45%,53.26%,2.96%,2.45%,2.16%,1.90,903.97K,0.54,96.68,0.39%,"154,071"
56,CZR,-7.68%,1.18%,20.26%,56.55%,365.34%,27.06%,6.46%,4.85%,2.00,3.71M,0.65,97.56,3.38%,"768,454"
57,PAYX,-3.01%,1.84%,9.13%,7.93%,59.15%,5.74%,2.16%,1.72%,3.00,1.95M,0.29,99.54,1.02%,"177,369"
58,CHRW,1.21%,0.70%,9.89%,5.67%,38.19%,5.69%,2.54%,2.52%,3.00,1.03M,0.41,99.99,0.79%,"135,003"
59,CSX,-1.78%,2.41%,13.50%,10.21%,61.61%,11.00%,1.79%,1.72%,2.20,3.63M,0.70,102.11,1.37%,"809,971"
60,SBUX,-3.70%,-4.06%,4.37%,17.64%,50.08%,3.28%,1.77%,1.64%,2.20,6.58M,0.85,111.08,0.53%,"1,767,958"
61,DLTR,-5.29%,-4.63%,0.45%,15.38%,47.17%,1.43%,2.17%,1.66%,2.40,1.78M,0.48,111.13,1.42%,"273,011"
62,AKAM,0.78%,7.21%,9.44%,14.85%,16.43%,5.76%,2.03%,2.36%,2.00,1.86M,0.58,112.24,1.08%,"340,364"
63,FISV,-3.91%,-8.35%,4.64%,6.28%,14.82%,-0.31%,1.72%,1.77%,1.80,4.50M,0.47,115.28,1.56%,"671,311"
64,XLNX,-6.17%,-7.28%,-20.52%,-6.40%,39.65%,-19.16%,3.60%,3.58%,2.80,2.58M,0.77,117.38,2.42%,"628,842"
